Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
14/02/2024,06:44:53,1.5,19.3775,-99.2082,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,12:44:53,revisado
14/02/2024,06:46:07,1.7,19.3883,-99.2138,menos de 1,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,12:46:07,revisado
14/02/2024,11:59:01,1.6,19.3815,-99.2088,1,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,17:59:01,revisado
15/02/2024,20:33:21,1.6,19.3798,-99.2357,1,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",16/02/2024,02:33:21,revisado
16/02/2024,09:35:23,2,19.3713,-99.2052,1,"3 km al SUR de V ALVARO OBREGON, CDMX",16/02/2024,15:35:23,revisado
16/02/2024,11:36:00,1.4,19.3725,-99.2133,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",16/02/2024,17:36:00,revisado
16/02/2024,11:40:12,1.2,19.3803,-99.2053,1,"2 km al SUR de V ALVARO OBREGON, CDMX",16/02/2024,17:40:12,revisado
17/02/2024,09:29:45,2,19.3698,-99.2137,1,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",17/02/2024,15:29:45,revisado
20/02/2024,04:07:36,1.4,19.3797,-99.2157,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",20/02/2024,10:07:36,revisado
21/02/2024,11:11:19,1,19.376,-99.209,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",21/02/2024,17:11:19,revisado
25/02/2024,03:37:47,1.9,19.377,-99.203,menos de 1,"3 km al SUR de V ALVARO OBREGON, CDMX",25/02/2024,09:37:47,revisado
26/02/2024,08:21:04,1.5,19.3765,-99.2035,1,"3 km al SUR de V ALVARO OBREGON, CDMX",26/02/2024,14:21:04,revisado
15/03/2024,03:54:27,1.5,19.379,-99.209,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",15/03/2024,09:54:27,verificado
16/04/2024,18:38:07,1,19.38,-99.19,menos de 1,"3 km al SURESTE de V ALVARO OBREGON, CDMX ",17/04/2024,00:38:07,verificado
23/05/2024,02:45:34,1.5,19.384,-99.194,menos de 1,"2 km al SURESTE de V ALVARO OBREGON, CDMX",23/05/2024,08:45:34,verificado
29/05/2024,18:46:27,1,19.38,-99.19,1,"3 km al SURESTE de V ALVARO OBREGON, CDMX ",30/05/2024,00:46:27,verificado
28/07/2024,23:36:43,2,19.35,-99.23,1.1,"3 km al NOROESTE de LA MAGDALENA C, CDMX ",29/07/2024,05:36:43,verificado
